#,Nome Skill,Dominio,Sottodominio,Cosa Fa,Stelle SkillsMP,Aggiornamento,Autore,Da Tenere?,Note
1,integrate-context-matic,DEV ENGINEERING,API Integration,'Discovers and integrates third-party APIs using the context-matic MCP server. Uses `fetch_api` to find available API SD,,,,,
2,paypal-integration,DEV ENGINEERING,API Integration,"Integrate PayPal payment processing with support for express checkout, subscriptions, and refund management. Use when im",,,,,
3,stripe-integration,DEV ENGINEERING,API Integration,"Implement Stripe payment processing for robust, PCI-compliant payment flows including checkout, subscriptions, and webho",,,,,
4,backtesting-frameworks,DEV ENGINEERING,Altro,"Build robust backtesting systems for trading strategies with proper handling of look-ahead bias, survivorship bias, and ",,,,,
5,api-design-principles,DEV ENGINEERING,Backend Framework,"Master REST and GraphQL API design principles to build intuitive, scalable, and maintainable APIs that delight developer",,,,,
6,aspnet-minimal-api-openapi,DEV ENGINEERING,Backend Framework,'Create ASP.NET Minimal API endpoints with proper OpenAPI documentation',,,,,
7,cqrs-implementation,DEV ENGINEERING,Backend Framework,Implement Command Query Responsibility Segregation for scalable architectures. Use when separating read and write models,,,,,
8,create-spring-boot-java-project,DEV ENGINEERING,Backend Framework,'Create Spring Boot Java Project Skeleton',,,,,
9,create-spring-boot-kotlin-project,DEV ENGINEERING,Backend Framework,'Create Spring Boot Kotlin Project Skeleton',,,,,
10,dotnet-backend-patterns,DEV ENGINEERING,Backend Framework,"Master C#/.NET backend development patterns for building robust APIs, MCP servers, and enterprise applications. Covers a",,,,,
11,event-store-design,DEV ENGINEERING,Backend Framework,"Design and implement event stores for event-sourced systems. Use when building event sourcing infrastructure, choosing e",,,,,
12,fastapi-templates,DEV ENGINEERING,Backend Framework,"Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Us",,,,,
13,java-refactoring-extract-method,DEV ENGINEERING,Backend Framework,'Refactoring using Extract Methods in Java Language',,,,,
14,java-refactoring-remove-parameter,DEV ENGINEERING,Backend Framework,'Refactoring using Remove Parameter in Java Language',,,,,
